French,English
acide,acidic
peu acide,low acidity
agressif,aggressive
agrumes,citrus
agréable,pleasant
alcool,alcohol
amer,bitter
apre,harsh
leger,light
astringent,astringent
boisé,woody
bonne_longueur,lengthy
chenin_typique,typical
complexe,complex
court,short
defaut,flaw
demi-sec,sweetish
doux,sweet
désagréable,unpleasant
equilibré,balanced
fade,bland
finesse,subtle
floral,floral
frais,fresh
fruité,fruity
fumé,smooky
mineral,mineral
odeur_differente,different
odeur_sucré,sweetsmell
passe_partout,average
piquant,piquante
poisson,fish
pétillant,sparkling
riche,rich
rond,round
secs,dry
trop_corsé,strong
épicé,spicy