,acide,peu acide,agressif,agrumes,agréable,alcool,amer,apre,leger,astringent,boisé,bonne_longueur,chenin_typique,complexe,court,defaut,demi-sec,doux,désagréable,equilibré,fade,finesse,floral,frais,fruité,fumé,mineral,odeur_differente,odeur_sucré,passe_partout,piquant,poisson,pétillant,riche,rond,secs,trop_corsé,épicé
FCAR,5,2,0,2,15,2,1,3,3,0,2,3,4,3,2,0,0,4,2,2,7,1,2,2,10,0,0,2,2,3,2,0,0,1,2,4,6,0
SRUD,4,3,0,2,9,1,4,1,2,2,2,3,4,1,0,4,2,4,9,2,9,0,1,2,8,3,0,1,2,2,1,0,0,2,2,1,5,2
FBAU,2,5,0,0,8,1,5,0,1,4,2,3,0,0,2,1,2,5,7,2,13,0,1,0,3,2,1,3,3,2,4,2,0,1,2,5,10,0
FROC,7,1,0,0,7,2,4,2,2,1,1,3,3,2,3,1,1,5,7,1,3,2,2,2,9,2,1,0,1,2,3,0,1,0,2,3,7,0
SFED,6,2,1,2,10,3,1,0,3,1,4,2,0,1,0,4,1,4,8,1,12,2,1,0,11,2,1,1,3,1,7,1,0,0,1,8,3,1
SREY,7,2,1,1,14,1,2,2,2,0,2,4,2,1,0,0,2,4,4,1,8,0,2,2,8,2,0,1,3,0,7,1,4,1,2,1,6,2
SKLE,7,1,1,0,10,1,2,0,0,1,2,3,0,1,0,0,1,4,3,2,0,1,1,3,14,2,0,0,4,0,7,2,1,0,1,3,9,2
FCLL,4,2,1,2,12,2,2,1,1,0,0,4,3,2,1,0,1,2,2,1,7,2,2,1,13,2,1,0,4,1,3,1,0,0,1,5,10,0
FCLP,5,1,2,1,10,2,1,2,1,1,1,5,1,0,2,3,0,3,9,0,5,2,0,3,7,1,2,1,2,0,7,1,1,0,2,10,15,0
SRAD,4,1,1,0,9,1,1,2,1,3,0,4,1,1,0,0,1,5,5,1,4,0,1,2,5,4,1,1,1,2,9,1,2,2,1,3,18,2
SRAA,5,3,1,1,7,1,2,2,1,3,1,3,3,1,1,5,1,3,9,2,8,0,1,0,6,3,1,1,1,1,4,2,0,1,1,6,8,1
FROU,9,3,2,0,11,1,3,3,4,2,1,4,0,0,2,3,1,4,5,2,3,0,0,1,7,1,1,0,2,0,2,2,1,1,0,7,7,1
FHUE,8,0,0,1,13,1,0,1,4,2,1,6,3,2,2,2,3,4,5,2,6,2,2,3,12,1,1,1,3,1,3,0,0,0,1,6,6,1
SBEA,4,2,0,1,13,2,2,1,0,2,3,4,4,1,0,0,1,5,4,1,1,1,1,3,12,2,1,1,6,2,0,0,1,1,1,2,12,1